date,product,region,channel,units_sold,revenue,cost
2026-01-05,Monitoring Suite,South,Partner,17,2124.67,1117.42
2026-01-05,Reporting Add-on,South,Online,8,764.03,404.72
2026-01-06,Analytics Pack,East,Online,23,3536.51,1827.55
2026-01-06,Insight Assistant,East,Direct,15,2661.81,1540.09
2026-01-06,Monitoring Suite,East,Direct,32,3859.41,2092.56
2026-01-06,Reporting Add-on,East,Online,15,1514.48,810.68
2026-01-06,Analytics Pack,North,Online,25,3760.28,1962.89
2026-01-06,Insight Assistant,North,Online,17,2957.88,1785.64
2026-01-06,Monitoring Suite,North,Online,30,3739.4,1892.99
2026-01-06,Reporting Add-on,North,Online,15,1468.29,783.03
2026-01-06,Analytics Pack,South,Direct,19,2911.77,1495.98
2026-01-06,Insight Assistant,South,Online,17,2899.85,1774.2
2026-01-06,Monitoring Suite,South,Partner,33,3965.68,2118.28
2026-01-06,Reporting Add-on,South,Online,13,1235.0,663.81
2026-01-07,Analytics Pack,East,Direct,22,3587.22,1789.16
2026-01-07,Insight Assistant,East,Partner,20,3490.52,2041.67
2026-01-07,Monitoring Suite,East,Partner,34,4202.58,2145.45
2026-01-07,Reporting Add-on,East,Online,16,1511.31,856.36
2026-01-07,Analytics Pack,North,Online,25,3696.69,2017.65
2026-01-07,Insight Assistant,North,Online,20,3678.92,1959.83
2026-01-07,Monitoring Suite,North,Partner,31,3862.97,2033.11
2026-01-07,Reporting Add-on,North,Partner,19,1828.77,1008.45
2026-01-07,Analytics Pack,South,Online,20,3002.08,1566.79
2026-01-07,Insight Assistant,South,Online,15,2658.02,1587.8
2026-01-07,Monitoring Suite,South,Partner,32,3692.0,2099.49
2026-01-07,Reporting Add-on,South,Partner,15,1395.19,799.3
2026-01-08,Analytics Pack,East,Direct,21,3281.4,1623.19
2026-01-08,Insight Assistant,East,Partner,22,4115.57,2154.11
2026-01-08,Monitoring Suite,East,Partner,37,4338.73,2405.91
2026-01-08,Reporting Add-on,East,Direct,14,1363.69,728.21
2026-01-08,Analytics Pack,North,Online,19,3075.4,1514.82
2026-01-08,Insight Assistant,North,Direct,17,3137.28,1758.02
2026-01-08,Monitoring Suite,North,Partner,30,3785.1,2037.19
2026-01-08,Reporting Add-on,North,Online,15,1441.39,799.5
2026-01-08,Analytics Pack,South,Online,19,3016.9,1541.09
2026-01-08,Insight Assistant,South,Direct,14,2368.53,1485.27
2026-01-08,Monitoring Suite,South,Partner,23,2901.25,1520.73
2026-01-08,Reporting Add-on,South,Online,13,1289.89,663.43
2026-01-09,Analytics Pack,East,Partner,28,4288.73,2240.82
2026-01-09,Insight Assistant,East,Online,20,3785.84,1969.51
2026-01-09,Monitoring Suite,East,Direct,25,3168.07,1678.96
2026-01-09,Reporting Add-on,East,Direct,14,1337.89,747.82
2026-01-09,Analytics Pack,North,Direct,19,2957.21,1529.52
2026-01-09,Insight Assistant,North,Direct,16,2996.95,1635.76
2026-01-09,Monitoring Suite,North,Online,24,2928.53,1601.41
2026-01-09,Reporting Add-on,North,Online,15,1460.46,741.14
2026-01-09,Analytics Pack,South,Direct,19,2882.74,1494.26
2026-01-09,Insight Assistant,South,Direct,14,2408.07,1396.29
2026-01-09,Monitoring Suite,South,Direct,23,2753.15,1430.33
2026-01-09,Reporting Add-on,South,Direct,11,971.84,562.3
2026-01-10,Analytics Pack,East,Online,27,4228.79,2237.04
2026-01-10,Insight Assistant,East,Partner,27,4810.54,2827.25
2026-01-10,Monitoring Suite,East,Direct,29,3671.53,1904.94
2026-01-10,Reporting Add-on,East,Online,16,1425.47,808.76
2026-01-10,Analytics Pack,North,Partner,31,4995.37,2428.01
2026-01-10,Insight Assistant,North,Online,21,3999.68,2201.23
2026-01-10,Monitoring Suite,North,Online,30,3803.4,1973.51
2026-01-10,Reporting Add-on,North,Online,17,1622.76,907.78
2026-01-10,Analytics Pack,South,Partner,29,4450.3,2354.84
2026-01-10,Insight Assistant,South,Partner,23,4089.44,2329.32
2026-01-10,Monitoring Suite,South,Partner,36,4418.32,2344.29
2026-01-10,Reporting Add-on,South,Online,16,1518.82,838.53
2026-01-11,Analytics Pack,East,Online,17,2608.47,1276.16
2026-01-11,Insight Assistant,East,Direct,14,2452.89,1475.69
2026-01-11,Monitoring Suite,East,Partner,27,3418.57,1744.06
2026-01-11,Reporting Add-on,East,Partner,15,1444.88,749.56
2026-01-11,Analytics Pack,North,Partner,23,3636.18,1866.3
2026-01-11,Insight Assistant,North,Online,16,2872.56,1664.26
2026-01-11,Monitoring Suite,North,Online,24,3233.79,1592.83
2026-01-11,Reporting Add-on,North,Direct,13,1268.17,663.84
2026-01-11,Analytics Pack,South,Online,5,785.55,391.95
2026-01-11,Insight Assistant,South,Partner,5,881.41,521.45
2026-01-11,Monitoring Suite,South,Partner,7,890.25,461.34
2026-01-11,Reporting Add-on,South,Online,3,280.35,165.44
2026-01-12,Analytics Pack,East,Partner,26,4010.75,2064.44
2026-01-12,Insight Assistant,East,Online,18,3176.54,1861.17
2026-01-12,Monitoring Suite,East,Online,28,3547.5,1775.66
2026-01-12,Reporting Add-on,East,Direct,13,1196.75,654.97
2026-01-12,Analytics Pack,North,Online,21,3367.08,1559.7
2026-01-12,Insight Assistant,North,Partner,20,3504.01,2036.4
2026-01-12,Monitoring Suite,North,Online,30,3700.21,2052.02
2026-01-12,Reporting Add-on,North,Online,16,1550.22,840.01
2026-01-12,Analytics Pack,South,Online,5,755.79,397.45
2026-01-12,Insight Assistant,South,Direct,4,703.46,417.18
2026-01-12,Monitoring Suite,South,Partner,8,1046.94,523.22
2026-01-12,Reporting Add-on,South,Partner,4,403.2,207.55
2026-01-13,Analytics Pack,East,Direct,19,2967.0,1569.34
2026-01-13,Insight Assistant,East,Partner,19,3465.79,1898.92
2026-01-13,Monitoring Suite,East,Partner,32,4043.61,1984.76
2026-01-13,Reporting Add-on,East,Direct,14,1306.96,751.19
2026-01-13,Analytics Pack,North,Direct,19,2850.28,1527.81
2026-01-13,Insight Assistant,North,Partner,19,3475.52,1974.96
2026-01-13,Monitoring Suite,North,Online,24,2993.88,1594.38
2026-01-13,Reporting Add-on,North,Partner,16,1444.68,805.35
2026-01-13,Analytics Pack,South,Partner,6,906.63,476.79
2026-01-13,Insight Assistant,South,Online,4,731.62,397.45
2026-01-13,Monitoring Suite,South,Partner,8,956.36,545.64
2026-01-13,Reporting Add-on,South,Partner,4,389.26,209.26
2026-01-14,Analytics Pack,East,Online,23,3445.92,1843.33
2026-01-14,Insight Assistant,East,Partner,24,4278.04,2344.45
2026-01-14,Monitoring Suite,East,Partner,34,4181.98,2220.91
2026-01-14,Reporting Add-on,East,Direct,12,1080.81,626.56
2026-01-14,Analytics Pack,North,Partner,23,3306.95,1890.18
2026-01-14,Insight Assistant,North,Direct,18,3223.07,1912.56
2026-01-14,Monitoring Suite,North,Partner,33,4154.9,2144.57
2026-01-14,Reporting Add-on,North,Online,13,1260.91,710.69
2026-01-14,Analytics Pack,South,Direct,17,2481.89,1332.58
2026-01-14,Insight Assistant,South,Online,17,3089.32,1696.33
2026-01-14,Monitoring Suite,South,Partner,27,3378.25,1793.98
2026-01-14,Reporting Add-on,South,Online,13,1229.74,686.4
2026-01-15,Analytics Pack,East,Partner,29,4424.7,2266.06
2026-01-15,Insight Assistant,East,Partner,20,3660.32,2028.7
2026-01-15,Monitoring Suite,East,Partner,35,4410.75,2268.77
2026-01-15,Reporting Add-on,East,Direct,13,1206.01,636.79
2026-01-15,Analytics Pack,North,Online,24,3758.99,2008.94
2026-01-15,Insight Assistant,North,Online,17,3041.54,1782.25
2026-01-15,Monitoring Suite,North,Partner,29,3587.77,1910.1
2026-01-15,Reporting Add-on,North,Online,16,1588.33,822.46
2026-01-15,Analytics Pack,South,Partner,24,3701.37,1934.72
2026-01-15,Insight Assistant,South,Online,15,2695.39,1570.13
2026-01-15,Monitoring Suite,South,Online,22,2789.77,1433.03
2026-01-15,Reporting Add-on,South,Direct,12,1131.59,638.85
2026-01-16,Analytics Pack,East,Partner,20,3105.42,1601.68
2026-01-16,Insight Assistant,East,Partner,17,3164.29,1694.08
2026-01-16,Monitoring Suite,East,Online,20,2423.33,1316.83
2026-01-16,Reporting Add-on,East,Partner,12,1076.39,625.54
2026-01-16,Analytics Pack,North,Online,13,1924.53,1003.3
2026-01-16,Insight Assistant,North,Direct,13,2376.24,1313.68
2026-01-16,Monitoring Suite,North,Online,19,2424.99,1221.55
2026-01-16,Reporting Add-on,North,Online,11,1049.96,583.12
2026-01-16,Analytics Pack,South,Online,14,2219.95,1074.47
2026-01-16,Insight Assistant,South,Direct,10,1783.84,994.12
2026-01-16,Monitoring Suite,South,Online,17,2047.49,1078.14
2026-01-16,Reporting Add-on,South,Online,8,708.76,426.42
2026-01-17,Analytics Pack,East,Online,58,8638.67,4576.14
2026-01-17,Insight Assistant,East,Partner,19,3458.91,2000.37
2026-01-17,Monitoring Suite,East,Online,25,3072.86,1597.21
2026-01-17,Reporting Add-on,East,Online,13,1188.68,684.64
2026-01-17,Analytics Pack,North,Partner,72,11615.07,5724.29
2026-01-17,Insight Assistant,North,Partner,15,2690.06,1568.09
2026-01-17,Monitoring Suite,North,Online,25,3166.49,1701.55
2026-01-17,Reporting Add-on,North,Online,15,1463.23,780.22
2026-01-17,Analytics Pack,South,Partner,58,9044.69,4456.74
2026-01-17,Insight Assistant,South,Online,15,2703.15,1497.68
2026-01-17,Monitoring Suite,South,Online,23,2929.93,1530.93
2026-01-17,Reporting Add-on,South,Direct,11,1038.64,556.52
2026-01-18,Analytics Pack,East,Direct,18,2780.16,1465.16
2026-01-18,Insight Assistant,East,Partner,18,3192.4,1877.7
2026-01-18,Monitoring Suite,East,Online,24,3028.03,1568.08
2026-01-18,Reporting Add-on,East,Online,16,1504.68,871.63
2026-01-18,Analytics Pack,North,Partner,23,3443.14,1795.14
2026-01-18,Insight Assistant,North,Online,18,3230.93,1842.02
2026-01-18,Monitoring Suite,North,Partner,27,3249.02,1767.78
2026-01-18,Reporting Add-on,North,Partner,15,1491.75,758.01
2026-01-18,Analytics Pack,South,Online,16,2322.52,1205.17
2026-01-18,Insight Assistant,South,Online,18,3322.74,1803.54
2026-01-18,Monitoring Suite,South,Partner,25,3070.82,1660.43
2026-01-18,Reporting Add-on,South,Direct,10,924.51,515.76
2026-01-19,Analytics Pack,East,Partner,23,3355.53,1816.44
2026-01-19,Insight Assistant,East,Partner,22,3777.57,2265.86
2026-01-19,Monitoring Suite,East,Online,28,3508.82,1815.96
2026-01-19,Reporting Add-on,East,Online,17,1594.1,828.71
2026-01-19,Analytics Pack,North,Online,20,3062.15,1556.9
2026-01-19,Insight Assistant,North,Direct,15,2654.82,1514.38
2026-01-19,Monitoring Suite,North,Online,28,3501.47,1863.55
2026-01-19,Reporting Add-on,North,Online,15,1423.8,784.4
2026-01-19,Analytics Pack,South,Online,20,3006.27,1608.61
2026-01-19,Insight Assistant,South,Online,16,2970.66,1604.42
2026-01-19,Monitoring Suite,South,Partner,24,3059.99,1545.11
2026-01-19,Reporting Add-on,South,Direct,11,1008.26,556.37
2026-01-20,Analytics Pack,East,Direct,21,3199.2,1652.11
2026-01-20,Insight Assistant,East,Partner,22,3611.85,2265.48
2026-01-20,Monitoring Suite,East,Direct,24,3035.73,1606.0
2026-01-20,Reporting Add-on,East,Direct,14,1353.52,707.05
2026-01-20,Analytics Pack,North,Online,24,3849.18,1964.08
2026-01-20,Insight Assistant,North,Online,19,3508.85,1948.25
2026-01-20,Monitoring Suite,North,Partner,31,4059.64,2014.17
2026-01-20,Reporting Add-on,North,Partner,17,1635.05,878.87
2026-01-20,Analytics Pack,South,Partner,25,3656.36,1959.3
2026-01-20,Insight Assistant,South,Online,17,3170.19,1746.54
2026-01-20,Monitoring Suite,South,Online,24,2885.07,1586.77
2026-01-20,Reporting Add-on,South,Online,13,1251.61,695.69
2026-01-21,Analytics Pack,East,Online,23,3553.64,1827.14
2026-01-21,Insight Assistant,East,Partner,21,3820.0,2183.06
2026-01-21,Monitoring Suite,East,Partner,33,4175.49,2266.04
2026-01-21,Reporting Add-on,East,Online,16,1553.54,839.79
2026-01-21,Analytics Pack,North,Direct,18,2780.82,1420.73
2026-01-21,Insight Assistant,North,Online,16,2908.6,1619.65
2026-01-21,Monitoring Suite,North,Partner,27,3420.74,1803.27
2026-01-21,Reporting Add-on,North,Direct,12,1104.38,641.23
2026-01-21,Analytics Pack,South,Direct,18,2727.88,1454.86
2026-01-21,Insight Assistant,South,Partner,20,3759.76,2131.51
2026-01-21,Monitoring Suite,South,Online,23,2993.21,1499.63
2026-01-21,Reporting Add-on,South,Partner,14,1347.71,736.43
